縣市,辦理單位,據點名稱,服務區域
桃園市,新屋區石磊社區發展協會,『活力石磊』新住民社區關懷服務據點,新屋區
桃園市,桃園市基督教女青年會,『安平麒麟』新住民社區關懷服務據點,平鎮區
桃園市,桃園市觀音區樹林社區發展協會,『樹林社區』新住民社區關懷服務據點,觀音區
桃園市,桃園區大檜溪社區發展協會,『大檜溪』新住民社區關懷服務據點,桃園區
桃園市,蘆竹區瓦窯社區發展協會,,
桃園市,蘆竹區吉祥社區發展協會,,蘆竹區
桃園市,桃園市台越時尚文化協會,,
桃園市,桃園縣社區大學協會,,大溪區
高雄市,高雄市外籍（南洋）姊妹關懷協會,"高雄市前鎮區新住民社區服務據
點",前鎮區
高雄市,社團法人台灣國際家庭互助協會,"高雄市鳳山區新住民社區服務據
點",鳳山區
高雄市,社團法人台灣國際家庭互助協會,"高雄市大寮區新住民社區服務據
點",大寮區
高雄市,"財團法人台灣兒童暨家庭扶助基金會高
雄市南區分事務所(旗津辦事處)","高雄市旗津區新住民社區服務據
點",旗津區
高雄市,"社團法人台灣國際海員漁民權益保護協
會","高雄市前鎮區新住民社區服務據
點",前鎮區
高雄市,社團法人高雄市甲仙愛鄉協會,"高雄市甲仙區新住民社區服務據
點",甲仙區
高雄市,社團法人台灣信徹蓮池功德會,"高雄市前鎮區新住民社區服務據
點",前鎮區
高雄市,社團法人中華民國南洋台灣姊妹會,"高雄市美濃區新住民社區服務據
點",美濃區
高雄市,社團法人高雄市佳音社區營造協會,"高雄市內門區新住民社區服務據
點",內門區
高雄市,高雄市六龜區新開部落災後重建協會,"高雄市六龜區新住民社區服務據
點",六龜區
高雄市,社團法人高雄市基督教女青年會,"高雄市苓雅區新住民社區服務據
點",苓雅區
高雄市,社團法人高雄市仁武慈暉志願協會,"高雄市仁武區新住民社區服務據
點",仁武區
高雄市,財團法人高雄市林柔蘭社會福利基金會,"高雄市橋頭區新住民社區服務據
點",楠梓區
高雄市,社團法人中華民國牧愛生命協會,"高雄市鼓山區新住民社區服務據
點",鼓山區
高雄市,社團法人高雄市綠繡眼發展協會,"高雄市岡山區新住民社區服務據
點",岡山區及鄰近地區
高雄市,社團法人高雄市生命樹國際關懷協會,"高雄市楠梓區新住民社區服務據
點",楠梓區
高雄市,愛加倍全人社區關懷協會,"高雄市左營區新住民社區服務據
點",左營區
高雄市,社團法人高雄市新住民互助發展協會,"高雄市小港區新住民社區服務據
點",小港區
高雄市,財團法人高雄市基督教會錫安堂,"高雄市三民區新住民社區服務據
點",三民區
高雄市,社團法人高雄市林園魔法屋愛鄉協會,"高雄市林園區新住民社區服務據
點",林園區
高雄市,社團法人高雄市劦助慈善會,"高雄市梓官區新住民社區服務據
點",梓官區
高雄市,高雄市湖內區公?社區發展協會,"高雄市湖內區新住民社區服務據
點",湖內區
基隆市,財團法人中華基督教基隆浸信會,中正區新住民家庭社區服務據點,中正區
基隆市,基隆教會新堂,信義區新住民家庭社區服務據點,信義區
基隆市,基隆貴格會崇信教會,七堵區新住民家庭社區服務據點,七堵區
澎湖縣,中華多元跨域人才發展協會,"澎湖縣馬公市新住民整合型社區
服務據點",
澎湖縣,澎湖縣湖西鄉湖西社區發展協會,"澎湖縣湖西鄉新住民整合型社區
服務據點",湖西鄉
澎湖縣,澎湖縣七美鄉新移民女性關懷協會,"澎湖縣七美鄉新住民整合型社區
服務據點",七美鄉
澎湖縣,澎湖縣白沙鄉健康舞蹈協會,澎湖縣白沙鄉新住民整合型社區服務據點,白沙鄉
澎湖縣,澎湖縣澎湖縣私立財團法人天主教澎湖教區附設惠民啟智中心,澎湖縣西嶼鄉新住民整合型社區服務據點,西嶼鄉
澎湖縣,澎湖縣望安鄉將軍社區發展協會,"澎湖縣西嶼鄉新住民整合型社區
服務據點",西嶼鄉
雲林縣,社團法人雲林縣兒童福利發展協會,"雲林縣斗南區新住民關懷服務據點
",斗南區
雲林縣,財團法人雲林縣雲萱基金會,"雲林縣虎尾區新住民關懷服務據點
",虎尾區
雲林縣,社團法人雲林縣社會關懷協會,"雲林縣台西區新住民社區服務據
點",台西區
雲林縣,社團法人雲林縣社會關懷協會,"雲林縣西螺區新住民社區服務據
點",西螺區
